"M11_R1"	"M11_R2"	"M12_1"	"M12_2"	"M12_3"	"M5"	"M6"	"Expression.Rep1"	"Expression.Rep2"	"Expression.Rep3"	"log2.Ratio.Treg.Tc.Rep1"	"log2.Ratio.Treg.Tc.Rep2"	"log2.Ratio.Treg.Tc.Rep3"	"log2.Ratio.Treg.Tc.Rep4"	"Gene.names"
1.5555801046402	1.6588784332661	2.5589200634973	0.0527819253745001	2.179029327374	1.0774773617883	1.4746518515001	2.82184141991364	1.87001669654117	1.57270522878974	NA	3.343834172	0.987588655	2.437494091	"Tiam1"
4.1739836524507	3.4215243742518	0.973638929754902	1.1988300672175	1.7415502847992	1.6242549563035	1.5318723078376	1.74575002114707	1.94528560116157	1.30088000797441	1.216652311	1.19061486	1.552198664	2.120982235	"Fabp5"
0.2033648036806	-0.905751786729702	2.4224885247875	2.717718438689	2.4328608136393	1.8674327045107	2.4612772997425	3.12333939458797	2.29932237438305	1.87488343992144	NA	NA	NA	NA	"Osbpl3"
0.2033648036806	0.955333804345301	-0.252633887724897	2.2999309918307	1.935880369864	0.9787507869884	0.501730882730101	3.86360558914785	3.07838876671528	3.08139532281902	NA	3.825378604	NA	NA	"Ctla4"
2.7001935706234	3.6968428939743	3.7699703994833	3.8937176033343	4.1175166594661	0.380740745889799	2.2508755225431	0.401675801836048	0.360241427537089	0.364361287039271	2.69021845	-0.080621777	0.281947497	1.715937288	"Rabgap1l"
NA	NA	NA	NA	NA	NA	NA	1.90078669464462	1.75649943149404	1.65281484673414	2.406139522	NA	NA	NA	"Abcb1a"
2.297062947549	1.546722668384	2.1203691011633	2.8275057769046	2.2532575509051	3.5604634697066	1.0098545637117	1.58396788929087	1.50094945829083	1.05527898051735	1.664699694	2.151111954	NA	2.204485069	"Rcn1"
NA	NA	NA	NA	NA	NA	NA	2.09469487635295	2.26920329390899	2.74106424628456	1.591179465	NA	1.512637139	1.870542271	"Cd86"
1.7595448987792	2.9925949978635	2.6792907528449	2.973807835168	3.0165551832214	3.3645090889747	4.0063213338439	1.17725734929302	0.815180387552238	0.597715744533005	1.157946398	0.859492545	NA	NA	"Casp1"
0.2033648036806	2.616333720817	2.9525555471333	2.3989518574436	2.4418658741632	2.6103942875755	2.9792391060928	2.61742288720249	1.36748516424491	1.57706525914272	2.049367356	1.681269339	NA	NA	"Endod1"
2.3040643327327	3.3801800351589	1.4430847657661	2.9935694314408	3.0443567902588	1.6349305409667	1.1679182043446	2.26412822204722	1.8081035485017	1.64683272346943	2.618295787	1.796431631	NA	NA	"Anxa4"
0.398992381578299	-0.556101074085497	3.5624451165679	4.1292898541956	2.6420591441359	2.095043148928	3.81004389054	2.13821102807273	1.86069082143896	2.05794210427504	NA	NA	NA	2.375595544	"Lclat1"
2.6478108271285	1.632331541012	2.4885219144497	2.6899529381348	1.5793512674802	2.6398803207775	2.6213957786064	NA	NA	NA	2.472329084	1.966762677	2.09320174	2.032524066	"Gbp5"
NA	NA	NA	NA	NA	NA	NA	2.35924046955621	2.25665870527876	2.24871560241053	NA	2.251688799	NA	NA	"Sh3bgrl2"
0.2033648036806	0.285298862089199	4.1031785236506	4.5962258579679	4.2826151428182	2.4374053393977	3.1793248888419	2.10364417474684	1.47203526894281	0.379024749969941	NA	NA	NA	NA	"Folr4"
0.2033648036806	0.285298862089199	4.1647710456383	3.8313370321586	-0.315404736657499	3.9553077986489	2.7507776094769	1.76128415883231	1.49990743781371	1.02996267223752	4.272185819	3.102893243	2.954333373	2.953786713	"Tnfrsf18"
1.0398827368326	3.4588615284206	2.9511081997835	3.287649519704	2.2105063466124	1.0173818132875	1.7437036063138	2.77248426246482	2.83069331482428	2.03498097703564	NA	NA	NA	NA	"Ikzf4"
0.784478746134202	3.3609601196114	4.6581842220308	4.9070653091765	0.431975595504202	0.9124489120966	2.7095688184068	1.18636948614133	0.75668208058601	0.749326327277189	4.522840789	3.436161839	NA	3.118160353	"Eno2"
NA	NA	NA	NA	NA	NA	NA	2.55576908953903	2.59497928861596	1.74457521120857	4.400522233	1.57826248	NA	NA	"Hopx"
3.8326941888511	4.1465805045556	5.1836897284871	4.2278000435617	3.0775934102797	3.0093753588998	4.4675966176437	1.03202565371871	0.886098589274332	0.22320956446541	1.285741292	1.424223407	1.930380315	1.785885293	"S100a10"
2.8317144191757	2.7381787205307	2.7736724372638	2.7335189026092	2.7388676314106	2.6769922214249	2.8225922009796	2.8414127445869	2.10944233804687	1.90411961786422	2.768665905	2.752855612	2.876625153	3.016407174	"Capg"
4.0098973907477	4.3446282589092	3.3250536467445	3.2481734149639	2.8990527149976	4.0279251827682	2.7214839482258	NA	NA	NA	0.906899612	1.327227468	1.111289867	1.721547654	"Gvin1"
1.3610789907622	3.9094793462921	3.6369940183268	4.7325757444021	4.0345962344013	3.2673494710401	4.0366371623172	1.64904385798222	1.12879804773411	1.20698073061697	NA	2.135305018	NA	2.745925702	"P2rx7"
